staff_id,ngo_id,first_name,last_name,role,email,phone,hire_date,salary
66,16,Aidana,Zhakenov,Field Worker,aidana.zhakenov721@yandex.kz,+7 (726) 589-50-26,2014-10-26,454464
67,18,Gaukhar,Kairatov,Field Worker,gaukhar.kairatov110@yahoo.com,+7 (798) 735-90-57,2012-08-03,575383
68,9,Marlen,Nurgaliyev,Assistant,marlen.nurgaliyev608@yahoo.com,+7 (731) 191-33-87,2012-06-04,269966
69,11,Bibigul,Nurpeisov,Manager,bibigul.nurpeisov560@yandex.kz,+7 (756) 320-96-47,2016-04-14,311052
70,3,Dana,Kadyrov,Assistant,dana.kadyrov170@yandex.kz,+7 (766) 352-78-52,2010-12-28,554374
71,14,Daniyar,Ospanov,Accountant,daniyar.ospanov515@yahoo.com,+7 (758) 830-95-45,2024-09-23,368436
72,7,Dana,Abdirov,Assistant,dana.abdirov995@yahoo.com,+7 (722) 109-27-68,2017-04-18,217485
73,17,Arman,Tuleshov,Manager,arman.tuleshov467@mail.ru,+7 (718) 687-40-88,2019-06-02,591374
74,5,Kairat,Suleimenov,Field Worker,kairat.suleimenov560@gmail.com,+7 (792) 719-69-40,2013-11-14,169471
75,9,Arman,Kadyrov,Coordinator,arman.kadyrov665@yahoo.com,+7 (791) 950-71-93,2016-09-16,575875
76,9,Saltanat,Kadyrov,Manager,saltanat.kadyrov551@gmail.com,+7 (787) 928-64-28,2019-10-15,237983
77,3,Kairat,Omarov,Accountant,kairat.omarov369@yandex.kz,+7 (746) 462-46-75,2021-02-13,170120
78,13,Laura,Baimukhanov,Manager,laura.baimukhanov798@mail.ru,+7 (711) 265-98-12,2019-09-08,372596
79,9,Rauan,Magzumov,Coordinator,rauan.magzumov800@yandex.kz,+7 (738) 163-38-11,2011-09-19,534784
80,12,Asel,Nurgaliyev,Accountant,asel.nurgaliyev294@yandex.kz,+7 (725) 703-39-85,2011-05-06,416198
81,16,Baurzhan,Akhmetov,Field Worker,baurzhan.akhmetov18@gmail.com,+7 (778) 377-88-77,2016-05-14,583320
82,13,Yerbol,Nurpeisov,Assistant,yerbol.nurpeisov442@yandex.kz,+7 (715) 212-88-27,2012-07-04,457074
83,7,Medet,Zhakenov,Coordinator,medet.zhakenov36@yandex.kz,+7 (780) 727-94-95,2013-11-27,156939
84,11,Dias,Kadyrov,Accountant,dias.kadyrov136@mail.ru,+7 (781) 577-44-95,2010-09-15,306177
85,16,Bibigul,Esenov,Field Worker,bibigul.esenov752@yahoo.com,+7 (761) 381-83-50,2018-09-10,513848
86,8,Yerlan,Ospanov,Accountant,yerlan.ospanov821@gmail.com,+7 (715) 664-76-31,2018-11-07,422429
87,12,Aidana,Aliyev,Coordinator,aidana.aliyev469@outlook.com,+7 (767) 854-96-87,2013-07-03,514961
88,8,Asel,Aliyev,Field Worker,asel.aliyev347@outlook.com,+7 (777) 252-61-22,2010-11-08,277016
89,10,Gulnara,Kadyrov,Field Worker,gulnara.kadyrov799@yandex.kz,+7 (788) 912-45-84,2024-06-13,505833
90,19,Ulan,Suleimenov,Coordinator,ulan.suleimenov781@gmail.com,+7 (733) 401-48-11,2023-07-12,599463
91,16,Kuanysh,Dzhakishev,Manager,kuanysh.dzhakishev82@gmail.com,+7 (727) 483-32-23,2010-03-14,547955
92,8,Saltanat,Magzumov,Assistant,saltanat.magzumov873@gmail.com,+7 (791) 550-13-64,2024-03-01,370327
93,17,Nurlan,Abdirov,Field Worker,nurlan.abdirov487@gmail.com,+7 (754) 985-26-16,2021-12-25,470660
94,9,Baurzhan,Magzumov,Accountant,baurzhan.magzumov776@yahoo.com,+7 (795) 902-27-21,2019-08-23,398032
95,14,Kairat,Omarov,Field Worker,kairat.omarov696@gmail.com,+7 (711) 281-95-24,2010-09-20,240172
96,5,Madina,Dauletov,Manager,madina.dauletov413@gmail.com,+7 (724) 150-77-39,2019-06-19,401469
97,12,Nurlan,Kairatov,Assistant,nurlan.kairatov381@outlook.com,+7 (771) 344-53-71,2018-02-11,354317
98,20,Kamila,Suleimenov,Accountant,kamila.suleimenov518@yandex.kz,+7 (754) 197-88-29,2021-03-04,301094
99,19,Daniyar,Abdirov,Manager,daniyar.abdirov37@yahoo.com,+7 (735) 890-31-55,2019-02-28,439768
100,9,Kanat,Ismailov,Accountant,kanat.ismailov303@gmail.com,+7 (762) 632-31-84,2012-06-12,168175
101,1,Tamara,Kadyrov,Field Worker,tamara.kadyrov768@yahoo.com,+7 (713) 315-88-80,2014-05-09,432349
102,6,Kairat,Kadyrov,Manager,kairat.kadyrov138@yandex.kz,+7 (754) 788-56-18,2018-04-19,393908
103,9,Kamila,Zhumabekov,Assistant,kamila.zhumabekov666@outlook.com,+7 (778) 512-56-44,2023-08-01,152618
104,4,Marlen,Aliyev,Manager,marlen.aliyev707@yahoo.com,+7 (790) 333-12-30,2017-04-09,299933
105,16,Bolat,Zhumabekov,Assistant,bolat.zhumabekov851@yandex.kz,+7 (796) 317-13-40,2016-06-02,512308
106,10,Daniyar,Rakhimov,Manager,daniyar.rakhimov299@yandex.kz,+7 (775) 640-11-35,2020-09-17,445465
107,5,Nurlan,Suleimenov,Coordinator,nurlan.suleimenov331@gmail.com,+7 (722) 719-42-36,2015-06-20,267184
108,12,Medet,Nurgaliyev,Coordinator,medet.nurgaliyev701@gmail.com,+7 (727) 335-65-10,2021-06-27,441768
109,2,Aigul,Bekbolat,Assistant,aigul.bekbolat693@yandex.kz,+7 (795) 451-45-39,2016-01-14,557691
110,18,Marat,Akhmetov,Manager,marat.akhmetov460@mail.ru,+7 (731) 650-35-13,2016-10-10,416696
111,18,Askar,Kairatov,Accountant,askar.kairatov980@yahoo.com,+7 (741) 317-94-84,2023-08-04,169139
112,8,Nazira,Ospanov,Accountant,nazira.ospanov161@gmail.com,+7 (733) 979-18-18,2015-03-12,336677
113,9,Yerbol,Nurpeisov,Coordinator,yerbol.nurpeisov713@yahoo.com,+7 (725) 270-70-78,2016-06-08,230430
114,17,Nurlan,Baimukhanov,Field Worker,nurlan.baimukhanov96@outlook.com,+7 (712) 246-47-32,2024-10-01,392752
115,10,Marlen,Abdirov,Field Worker,marlen.abdirov836@yandex.kz,+7 (774) 645-42-73,2014-03-06,334250
116,15,Yerlan,Rakhimov,Assistant,yerlan.rakhimov261@yahoo.com,+7 (761) 922-75-82,2012-12-27,463741
117,18,Erlan,Dzhakishev,Field Worker,erlan.dzhakishev315@yahoo.com,+7 (770) 731-26-23,2011-01-23,323024
118,12,Bakhyt,Rakhimov,Manager,bakhyt.rakhimov708@yandex.kz,+7 (748) 315-83-18,2012-12-03,359995
119,20,Oksana,Aliyev,Accountant,oksana.aliyev110@yahoo.com,+7 (750) 397-42-86,2023-02-12,277160
120,16,Aidana,Zhakenov,Accountant,aidana.zhakenov101@outlook.com,+7 (775) 140-61-52,2019-07-05,416553
121,1,Arman,Ospanov,Assistant,arman.ospanov2@outlook.com,+7 (766) 233-20-56,2013-03-06,360158
122,2,Gulnara,Nurgaliyev,Manager,gulnara.nurgaliyev420@gmail.com,+7 (727) 430-72-46,2012-08-24,424041
123,11,Dana,Abdirov,Accountant,dana.abdirov800@yahoo.com,+7 (722) 610-94-98,2022-09-19,164153
124,8,Dana,Akhmetov,Assistant,dana.akhmetov435@gmail.com,+7 (753) 571-97-60,2019-07-13,586292
125,5,Timur,Nurgaliyev,Assistant,timur.nurgaliyev11@yahoo.com,+7 (762) 592-25-99,2012-02-12,203369
126,9,Bakhyt,Dauletov,Coordinator,bakhyt.dauletov623@yahoo.com,+7 (710) 809-94-37,2013-03-05,189265
127,10,Madina,Magzumov,Field Worker,madina.magzumov576@gmail.com,+7 (785) 900-94-83,2018-03-15,162562
128,15,Askar,Kadyrov,Coordinator,askar.kadyrov607@gmail.com,+7 (754) 674-65-76,2013-10-09,488704
129,20,Nazira,Kairatov,Assistant,nazira.kairatov565@yahoo.com,+7 (744) 905-66-30,2018-07-21,453111
130,3,Aslan,Nurgaliyev,Coordinator,aslan.nurgaliyev298@yahoo.com,+7 (753) 624-76-98,2011-08-07,255551
131,17,Venera,Zhakenov,Coordinator,venera.zhakenov759@mail.ru,+7 (741) 912-58-51,2011-06-23,329919
132,4,Aliya,Esenov,Coordinator,aliya.esenov269@outlook.com,+7 (795) 679-68-43,2013-08-09,522568
133,8,Kanat,Nurgaliyev,Field Worker,kanat.nurgaliyev981@gmail.com,+7 (757) 743-40-84,2014-11-11,394043
134,14,Gulnara,Nurpeisov,Field Worker,gulnara.nurpeisov307@yandex.kz,+7 (720) 755-82-52,2012-02-25,281680
135,2,Dias,Tolegenov,Manager,dias.tolegenov947@yahoo.com,+7 (788) 748-72-91,2016-11-13,281607
136,5,Laura,Yermekbayev,Field Worker,laura.yermekbayev369@gmail.com,+7 (714) 347-64-57,2014-10-16,218142
137,15,Tamara,Nurpeisov,Field Worker,tamara.nurpeisov72@outlook.com,+7 (768) 610-91-31,2014-12-22,571061
138,14,Togzhan,Tuleshov,Field Worker,togzhan.tuleshov394@yandex.kz,+7 (794) 732-60-81,2013-02-09,241448
139,11,Aliya,Rakhimov,Assistant,aliya.rakhimov148@yandex.kz,+7 (772) 579-54-99,2016-09-02,215204
140,18,Daniyar,Suleimenov,Field Worker,daniyar.suleimenov114@yahoo.com,+7 (764) 591-31-33,2010-03-10,297876
141,14,Kamila,Ospanov,Coordinator,kamila.ospanov292@mail.ru,+7 (797) 639-17-81,2011-11-06,246543
142,6,Bolat,Esenov,Coordinator,bolat.esenov764@yahoo.com,+7 (788) 452-43-71,2014-01-19,409363
143,11,Nurlan,Baimukhanov,Coordinator,nurlan.baimukhanov994@mail.ru,+7 (734) 116-31-18,2017-08-07,378963
144,13,Kuanysh,Esenov,Accountant,kuanysh.esenov158@outlook.com,+7 (786) 403-71-15,2022-01-25,195647
145,20,Bakhyt,Yermekbayev,Field Worker,bakhyt.yermekbayev36@mail.ru,+7 (713) 390-42-34,2017-02-07,411559
146,2,Kuanysh,Yermekbayev,Accountant,kuanysh.yermekbayev948@gmail.com,+7 (743) 388-48-48,2023-09-20,285305
147,2,Zarina,Aliyev,Assistant,zarina.aliyev375@outlook.com,+7 (748) 307-64-36,2017-09-07,487831
148,13,Zhanna,Suleimenov,Manager,zhanna.suleimenov53@gmail.com,+7 (730) 443-68-47,2019-07-09,486991
149,10,Medet,Zhakenov,Coordinator,medet.zhakenov387@mail.ru,+7 (791) 504-36-68,2020-03-07,424468
150,5,Gaukhar,Bekbolat,Coordinator,gaukhar.bekbolat389@yandex.kz,+7 (746) 462-22-40,2013-05-18,593968
151,3,Laura,Zhakenov,Field Worker,laura.zhakenov968@yandex.kz,+7 (790) 381-64-50,2016-02-12,339702
152,13,Kanat,Serikbayev,Field Worker,kanat.serikbayev875@mail.ru,+7 (732) 631-73-96,2024-01-01,266771
153,11,Farida,Zhakenov,Assistant,farida.zhakenov237@gmail.com,+7 (787) 612-61-14,2023-05-25,540368
154,7,Dinara,Zhumabekov,Coordinator,dinara.zhumabekov413@yandex.kz,+7 (776) 417-81-28,2023-07-09,565687
155,14,Serik,Tolegenov,Accountant,serik.tolegenov13@mail.ru,+7 (728) 335-18-63,2020-04-28,234914
156,1,Aigul,Esenov,Accountant,aigul.esenov10@yandex.kz,+7 (767) 865-13-56,2023-03-07,326260
157,15,Oksana,Tuleshov,Field Worker,oksana.tuleshov894@yahoo.com,+7 (722) 142-46-52,2020-03-18,429539
158,1,Bolat,Serikbayev,Field Worker,bolat.serikbayev295@yahoo.com,+7 (756) 515-98-30,2019-01-05,228957
159,6,Zhanna,Nurpeisov,Manager,zhanna.nurpeisov644@outlook.com,+7 (797) 365-22-28,2019-05-06,527563
160,12,Bibigul,Akhmetov,Assistant,bibigul.akhmetov329@mail.ru,+7 (711) 629-15-87,2017-11-03,292684
161,3,Askar,Ismailov,Coordinator,askar.ismailov759@mail.ru,+7 (787) 234-47-62,2024-02-01,229208
162,19,Rauan,Nurgaliyev,Accountant,rauan.nurgaliyev914@yandex.kz,+7 (797) 585-54-41,2015-06-07,439908
163,6,Aliya,Ospanov,Coordinator,aliya.ospanov738@yahoo.com,+7 (720) 512-71-65,2024-01-15,266051
164,14,Dias,Kadyrov,Assistant,dias.kadyrov595@yahoo.com,+7 (742) 227-91-87,2017-09-12,231111
165,1,Zhanar,Ismailov,Coordinator,zhanar.ismailov801@outlook.com,+7 (772) 935-14-15,2022-02-10,178453
166,11,Aslan,Tolegenov,Field Worker,aslan.tolegenov275@outlook.com,+7 (728) 907-55-31,2010-11-05,574860
167,7,Daniyar,Kairatov,Coordinator,daniyar.kairatov7@gmail.com,+7 (777) 594-70-62,2011-05-14,592308
168,4,Zhanna,Zhumabekov,Assistant,zhanna.zhumabekov591@outlook.com,+7 (782) 319-53-96,2011-08-24,509959
169,10,Laura,Esenov,Manager,laura.esenov311@yandex.kz,+7 (735) 947-62-77,2013-01-03,525106
170,10,Kuanysh,Dzhakishev,Field Worker,kuanysh.dzhakishev183@outlook.com,+7 (713) 879-33-61,2020-12-15,356418
171,11,Dinara,Bekbolat,Assistant,dinara.bekbolat394@mail.ru,+7 (766) 384-92-46,2016-01-17,561245
172,8,Yerbol,Serikbayev,Field Worker,yerbol.serikbayev657@yahoo.com,+7 (786) 613-68-94,2023-12-01,378565
173,3,Aigul,Serikbayev,Field Worker,aigul.serikbayev524@yahoo.com,+7 (727) 630-17-64,2020-03-22,370168
174,4,Baurzhan,Nurpeisov,Accountant,baurzhan.nurpeisov191@mail.ru,+7 (720) 753-98-18,2024-05-25,386189
175,9,Askar,Dauletov,Manager,askar.dauletov488@yandex.kz,+7 (785) 822-71-42,2013-12-11,204259
176,2,Aidar,Serikbayev,Accountant,aidar.serikbayev277@outlook.com,+7 (725) 101-23-70,2016-01-03,417117
177,13,Aigul,Tolegenov,Manager,aigul.tolegenov807@mail.ru,+7 (730) 570-37-55,2023-06-17,429107
178,17,Elmira,Tuleshov,Field Worker,elmira.tuleshov358@gmail.com,+7 (768) 540-67-19,2012-10-05,554246
179,8,Kanat,Tolegenov,Assistant,kanat.tolegenov133@yahoo.com,+7 (720) 155-82-21,2013-02-24,283665
180,13,Baurzhan,Kadyrov,Assistant,baurzhan.kadyrov609@yandex.kz,+7 (751) 838-63-86,2011-02-09,398537
181,1,Saule,Suleimenov,Field Worker,saule.suleimenov486@gmail.com,+7 (763) 442-20-29,2015-10-18,415641
182,7,Aidana,Tolegenov,Field Worker,aidana.tolegenov708@yandex.kz,+7 (757) 869-50-96,2019-08-10,375993
183,5,Sultan,Bekbolat,Assistant,sultan.bekbolat505@yandex.kz,+7 (763) 743-76-34,2019-01-05,389839
184,13,Aliya,Yermekbayev,Coordinator,aliya.yermekbayev786@outlook.com,+7 (757) 153-21-64,2016-07-10,378242
185,17,Yerlan,Omarov,Field Worker,yerlan.omarov817@yandex.kz,+7 (770) 108-27-78,2012-05-21,488049
186,1,Oksana,Suleimenov,Coordinator,oksana.suleimenov458@gmail.com,+7 (774) 274-20-93,2013-12-13,554668
187,7,Zhanar,Tuleshov,Accountant,zhanar.tuleshov939@yandex.kz,+7 (762) 814-68-51,2016-09-26,227399
188,16,Marlen,Zhumabekov,Field Worker,marlen.zhumabekov124@mail.ru,+7 (784) 182-57-44,2019-09-11,256989
189,14,Asel,Serikbayev,Manager,asel.serikbayev432@yandex.kz,+7 (722) 172-74-28,2018-05-05,561406
190,16,Dana,Zhakenov,Manager,dana.zhakenov718@yahoo.com,+7 (787) 345-22-63,2014-05-13,387308
191,10,Daniyar,Nurgaliyev,Field Worker,daniyar.nurgaliyev299@yandex.kz,+7 (780) 799-23-56,2016-02-23,299065
192,16,Kuanysh,Rakhimov,Manager,kuanysh.rakhimov941@gmail.com,+7 (754) 596-52-13,2014-03-09,463925
193,5,Erlan,Baimukhanov,Coordinator,erlan.baimukhanov822@yahoo.com,+7 (768) 728-69-45,2021-07-06,310130
194,15,Bibigul,Aliyev,Manager,bibigul.aliyev929@mail.ru,+7 (756) 224-60-23,2016-09-11,182890
195,20,Daniyar,Akhmetov,Coordinator,daniyar.akhmetov78@mail.ru,+7 (781) 694-19-84,2022-01-12,238468
196,19,Dias,Suleimenov,Coordinator,dias.suleimenov889@yahoo.com,+7 (774) 914-18-27,2023-03-14,469983
197,18,Kuanysh,Ismailov,Accountant,kuanysh.ismailov833@yandex.kz,+7 (711) 972-78-78,2017-12-19,219492
198,12,Madina,Akhmetov,Assistant,madina.akhmetov319@yahoo.com,+7 (768) 531-37-98,2022-09-21,559107
199,4,Nurlan,Nurgaliyev,Manager,nurlan.nurgaliyev145@gmail.com,+7 (726) 703-82-48,2015-02-02,392209
200,3,Aslan,Nurgaliyev,Coordinator,aslan.nurgaliyev160@yahoo.com,+7 (764) 811-98-32,2014-02-17,562703
201,15,Kuanysh,Bekbolat,Assistant,kuanysh.bekbolat592@mail.ru,+7 (748) 160-55-91,2023-08-09,282483
202,4,Nurlan,Kadyrov,Accountant,nurlan.kadyrov919@mail.ru,+7 (792) 952-52-45,2010-06-03,435902
203,4,Zhanna,Kairatov,Coordinator,zhanna.kairatov335@outlook.com,+7 (788) 238-82-72,2015-05-17,268108
204,3,Farida,Magzumov,Assistant,farida.magzumov285@mail.ru,+7 (724) 115-50-44,2012-10-08,483580
205,2,Arman,Mambetalin,Accountant,arman.mambetalin189@yahoo.com,+7 (752) 668-93-53,2023-12-13,320840
206,10,Ruslan,Dzhakishev,Field Worker,ruslan.dzhakishev242@mail.ru,+7 (735) 418-56-56,2011-10-10,237446
207,2,Bolat,Zhumabekov,Manager,bolat.zhumabekov409@outlook.com,+7 (738) 604-62-54,2011-12-17,443631
208,6,Dias,Serikbayev,Manager,dias.serikbayev623@mail.ru,+7 (747) 160-77-43,2013-05-06,561466
209,17,Erlan,Tuleshov,Accountant,erlan.tuleshov511@outlook.com,+7 (733) 704-84-37,2014-05-15,380612
210,7,Medet,Zhumabekov,Assistant,medet.zhumabekov141@yandex.kz,+7 (792) 751-93-57,2016-09-18,385307
211,14,Bakhyt,Dzhakishev,Field Worker,bakhyt.dzhakishev166@gmail.com,+7 (733) 846-67-95,2020-03-09,152758
212,12,Venera,Ismailov,Assistant,venera.ismailov278@outlook.com,+7 (766) 160-72-54,2011-06-13,521470
213,6,Arman,Serikbayev,Field Worker,arman.serikbayev879@gmail.com,+7 (710) 276-88-74,2019-02-13,191488
214,15,Medet,Kadyrov,Coordinator,medet.kadyrov626@outlook.com,+7 (747) 336-55-48,2013-10-09,474297
215,6,Ulan,Esenov,Field Worker,ulan.esenov223@gmail.com,+7 (754) 539-78-83,2010-08-27,166961
216,8,Dana,Omarov,Assistant,dana.omarov474@gmail.com,+7 (750) 911-25-76,2012-04-27,266922
217,3,Askar,Esenov,Field Worker,askar.esenov973@outlook.com,+7 (757) 193-10-25,2023-11-08,246054
218,17,Aigul,Dzhakishev,Assistant,aigul.dzhakishev808@yandex.kz,+7 (743) 223-50-33,2015-07-05,219867
219,11,Serik,Omarov,Manager,serik.omarov729@yandex.kz,+7 (722) 352-69-20,2019-12-05,483429
220,14,Arman,Omarov,Field Worker,arman.omarov16@outlook.com,+7 (755) 519-43-41,2010-02-10,453570
221,20,Marlen,Tolegenov,Field Worker,marlen.tolegenov68@yahoo.com,+7 (757) 298-92-54,2024-04-18,253194
222,9,Asel,Zhakenov,Manager,asel.zhakenov267@yandex.kz,+7 (768) 552-60-20,2016-07-08,166148
223,6,Venera,Baimukhanov,Field Worker,venera.baimukhanov323@mail.ru,+7 (785) 689-80-27,2017-04-10,252139
224,3,Saule,Esenov,Coordinator,saule.esenov874@mail.ru,+7 (710) 546-50-71,2024-03-24,400989
225,3,Sultan,Nurpeisov,Manager,sultan.nurpeisov922@yandex.kz,+7 (752) 270-71-17,2011-12-25,268853
