volunteer_id,first_name,last_name,phone,email,skills,availability,registration_date
37,Oksana,Serikbayev,+7 (785) 353-35-61,oksana.serikbayev2433@mail.ru,Medical Aid,Weekends,2021-03-14
38,Ruslan,Nurgaliyev,+7 (754) 921-25-40,ruslan.nurgaliyev6713@gmail.com,Logistics,Flexible,2015-01-24
39,Bolat,Baimukhanov,+7 (715) 985-84-59,bolat.baimukhanov3594@gmail.com,Fundraising,Weekends,2024-04-19
40,Baurzhan,Dzhakishev,+7 (738) 470-71-61,baurzhan.dzhakishev2857@gmail.com,Logistics,Weekdays,2019-04-14
41,Serik,Baimukhanov,+7 (762) 225-66-17,serik.baimukhanov6992@outlook.com,Logistics,Weekdays,2023-09-25
42,Erlan,Abdirov,+7 (731) 645-42-20,erlan.abdirov9823@yahoo.com,Fundraising,Flexible,2016-03-01
43,Askar,Tuleshov,+7 (730) 652-57-33,askar.tuleshov9639@yandex.kz,Community Support,Flexible,2020-11-24
44,Aliya,Kadyrov,+7 (788) 563-76-80,aliya.kadyrov8510@yandex.kz,Fundraising,Flexible,2019-08-16
45,Yerlan,Ismailov,+7 (748) 485-66-12,yerlan.ismailov2336@outlook.com,Medical Aid,Weekdays,2019-05-11
46,Saule,Tolegenov,+7 (738) 305-28-55,saule.tolegenov2325@yandex.kz,Community Support,Weekends,2023-11-23
47,Aslan,Mambetalin,+7 (737) 485-63-45,aslan.mambetalin2417@mail.ru,Logistics,Flexible,2018-07-24
48,Askar,Magzumov,+7 (786) 488-89-21,askar.magzumov9095@yahoo.com,Community Support,Weekdays,2016-04-04
49,Tamara,Kairatov,+7 (773) 190-81-54,tamara.kairatov7595@gmail.com,Logistics,Weekdays,2018-03-10
50,Elmira,Nurgaliyev,+7 (771) 843-63-57,elmira.nurgaliyev360@outlook.com,Medical Aid,Weekdays,2020-07-26
51,Bakhyt,Baimukhanov,+7 (721) 899-62-24,bakhyt.baimukhanov4210@gmail.com,Community Support,Flexible,2019-01-25
52,Nurlan,Zhumabekov,+7 (754) 237-34-70,nurlan.zhumabekov2851@yahoo.com,Community Support,Weekdays,2024-05-09
53,Venera,Tuleshov,+7 (761) 606-63-95,venera.tuleshov2550@outlook.com,Logistics,Weekends,2022-02-08
54,Zhanar,Tolegenov,+7 (767) 139-62-46,zhanar.tolegenov365@gmail.com,Teaching,Weekdays,2019-03-23
55,Dias,Mambetalin,+7 (798) 554-25-64,dias.mambetalin9585@mail.ru,Medical Aid,Flexible,2016-03-20
56,Bibigul,Mambetalin,+7 (731) 846-23-52,bibigul.mambetalin4785@mail.ru,Logistics,Weekdays,2018-02-04
57,Nazira,Dauletov,+7 (732) 533-73-10,nazira.dauletov9133@yandex.kz,Community Support,Weekends,2017-04-24
58,Ulan,Esenov,+7 (723) 579-93-14,ulan.esenov7068@yahoo.com,Community Support,Flexible,2022-11-28
59,Daniyar,Tolegenov,+7 (787) 528-59-99,daniyar.tolegenov2747@mail.ru,Communication,Weekends,2022-04-07
60,Aidar,Magzumov,+7 (770) 947-91-69,aidar.magzumov22@yandex.kz,Teaching,Weekdays,2024-02-06
61,Oksana,Kadyrov,+7 (730) 366-83-34,oksana.kadyrov1286@outlook.com,Communication,Weekdays,2018-03-02
62,Kanat,Baimukhanov,+7 (772) 306-25-51,kanat.baimukhanov6916@yandex.kz,Communication,Weekdays,2022-10-15
63,Venera,Rakhimov,+7 (738) 854-89-98,venera.rakhimov6554@yahoo.com,Medical Aid,Weekdays,2018-08-25
64,Askar,Nurpeisov,+7 (736) 411-74-28,askar.nurpeisov6851@outlook.com,Medical Aid,Weekdays,2021-11-27
65,Oksana,Magzumov,+7 (731) 488-30-22,oksana.magzumov9640@mail.ru,Medical Aid,Weekdays,2024-07-04
66,Baurzhan,Aliyev,+7 (763) 390-51-52,baurzhan.aliyev1820@outlook.com,Communication,Weekdays,2020-04-22
67,Gaukhar,Mambetalin,+7 (718) 564-25-58,gaukhar.mambetalin8607@mail.ru,Teaching,Flexible,2016-12-05
68,Dana,Ismailov,+7 (752) 335-33-95,dana.ismailov4404@yahoo.com,Teaching,Weekends,2020-05-26
69,Saule,Kadyrov,+7 (790) 824-18-61,saule.kadyrov3476@gmail.com,Community Support,Flexible,2021-08-21
70,Timur,Dauletov,+7 (794) 579-97-21,timur.dauletov4929@mail.ru,Communication,Weekdays,2023-02-23
71,Ruslan,Kairatov,+7 (777) 514-55-52,ruslan.kairatov8355@yandex.kz,Communication,Weekdays,2021-07-16
72,Ulan,Kairatov,+7 (783) 503-92-92,ulan.kairatov3213@mail.ru,Communication,Flexible,2017-05-06
73,Aidar,Zhakenov,+7 (768) 192-44-25,aidar.zhakenov251@mail.ru,Communication,Weekends,2022-01-11
74,Serik,Serikbayev,+7 (741) 688-65-54,serik.serikbayev4895@yandex.kz,Communication,Weekends,2023-04-05
75,Bakhyt,Kadyrov,+7 (712) 696-79-76,bakhyt.kadyrov615@yahoo.com,Logistics,Flexible,2016-02-08
76,Medet,Rakhimov,+7 (761) 865-59-10,medet.rakhimov3201@yahoo.com,Communication,Weekends,2018-10-09
77,Aigul,Abdirov,+7 (773) 235-28-32,aigul.abdirov537@gmail.com,Teaching,Weekends,2015-08-20
78,Venera,Kadyrov,+7 (797) 927-11-46,venera.kadyrov3852@yahoo.com,Fundraising,Weekdays,2021-05-03
79,Kairat,Zhumabekov,+7 (796) 135-32-67,kairat.zhumabekov2680@gmail.com,Medical Aid,Flexible,2020-10-27
80,Togzhan,Yermekbayev,+7 (732) 893-10-50,togzhan.yermekbayev346@yahoo.com,Logistics,Weekends,2018-07-18
81,Bakhyt,Aliyev,+7 (788) 468-33-99,bakhyt.aliyev8327@yandex.kz,Fundraising,Flexible,2021-08-01
82,Baurzhan,Nurgaliyev,+7 (792) 163-33-43,baurzhan.nurgaliyev7745@yandex.kz,Communication,Weekends,2022-03-05
83,Nurlan,Ismailov,+7 (741) 724-55-38,nurlan.ismailov3087@mail.ru,Logistics,Weekends,2023-07-03
84,Marat,Baimukhanov,+7 (742) 748-12-17,marat.baimukhanov976@outlook.com,Teaching,Flexible,2024-11-06
85,Dana,Esenov,+7 (726) 397-69-33,dana.esenov3205@yahoo.com,Communication,Flexible,2020-03-10
86,Marlen,Kairatov,+7 (755) 791-66-74,marlen.kairatov3912@yandex.kz,Teaching,Weekdays,2015-06-13
87,Kuanysh,Serikbayev,+7 (791) 381-89-51,kuanysh.serikbayev3214@yandex.kz,Communication,Weekdays,2024-06-16
88,Dana,Tolegenov,+7 (733) 618-78-39,dana.tolegenov9275@mail.ru,Communication,Flexible,2016-04-22
89,Bakhyt,Serikbayev,+7 (747) 758-15-92,bakhyt.serikbayev1217@gmail.com,Teaching,Weekdays,2022-07-26
90,Aidana,Mambetalin,+7 (745) 690-10-29,aidana.mambetalin7213@mail.ru,Logistics,Weekdays,2019-12-14
91,Nazira,Kairatov,+7 (710) 569-22-71,nazira.kairatov8767@mail.ru,Medical Aid,Weekdays,2018-05-08
92,Marat,Suleimenov,+7 (755) 460-57-47,marat.suleimenov8882@yahoo.com,Fundraising,Weekends,2023-01-24
93,Bolat,Dauletov,+7 (761) 841-54-58,bolat.dauletov4180@gmail.com,Medical Aid,Weekends,2018-02-02
94,Farida,Rakhimov,+7 (733) 443-61-26,farida.rakhimov9014@mail.ru,Logistics,Weekends,2018-12-07
95,Bolat,Baimukhanov,+7 (742) 710-86-63,bolat.baimukhanov3033@outlook.com,Community Support,Flexible,2021-04-14
96,Saltanat,Kairatov,+7 (718) 343-39-90,saltanat.kairatov9954@mail.ru,Communication,Weekdays,2024-01-02
97,Zhanna,Omarov,+7 (740) 893-50-70,zhanna.omarov9158@gmail.com,Teaching,Flexible,2022-07-14
98,Gulnara,Zhumabekov,+7 (723) 808-22-23,gulnara.zhumabekov6565@mail.ru,Communication,Flexible,2017-03-26
99,Alibek,Kairatov,+7 (728) 770-72-32,alibek.kairatov5721@outlook.com,Communication,Weekdays,2019-06-19
100,Nurlan,Magzumov,+7 (785) 888-72-94,nurlan.magzumov3647@yahoo.com,Logistics,Flexible,2017-12-24
101,Kamila,Suleimenov,+7 (777) 122-61-81,kamila.suleimenov8708@yandex.kz,Community Support,Weekdays,2015-07-22
102,Asel,Kairatov,+7 (785) 657-68-58,asel.kairatov7821@outlook.com,Community Support,Flexible,2021-03-13
103,Ruslan,Magzumov,+7 (728) 174-78-59,ruslan.magzumov515@yahoo.com,Community Support,Weekdays,2020-11-14
104,Asel,Nurpeisov,+7 (721) 944-60-65,asel.nurpeisov8730@yandex.kz,Fundraising,Weekends,2023-11-10
105,Madina,Kairatov,+7 (793) 432-62-97,madina.kairatov7571@outlook.com,Medical Aid,Weekends,2019-12-23
106,Kamila,Aliyev,+7 (723) 636-77-60,kamila.aliyev6395@gmail.com,Community Support,Weekends,2017-03-05
107,Askar,Esenov,+7 (726) 303-77-70,askar.esenov3138@yandex.kz,Teaching,Flexible,2022-11-04
108,Saule,Esenov,+7 (777) 176-18-77,saule.esenov6140@mail.ru,Fundraising,Flexible,2016-10-02
109,Aidana,Zhakenov,+7 (746) 968-60-28,aidana.zhakenov7151@outlook.com,Teaching,Flexible,2023-10-05
110,Laura,Nurpeisov,+7 (718) 578-31-45,laura.nurpeisov6217@mail.ru,Communication,Flexible,2015-04-14
111,Serik,Serikbayev,+7 (758) 532-34-23,serik.serikbayev1828@outlook.com,Logistics,Flexible,2015-02-04
112,Baurzhan,Yermekbayev,+7 (738) 303-40-12,baurzhan.yermekbayev3479@mail.ru,Fundraising,Flexible,2018-10-17
113,Baurzhan,Baimukhanov,+7 (780) 805-46-35,baurzhan.baimukhanov9783@outlook.com,Teaching,Weekdays,2022-02-01
114,Yerbol,Serikbayev,+7 (718) 339-81-40,yerbol.serikbayev4857@mail.ru,Medical Aid,Flexible,2021-02-14
115,Aliya,Kadyrov,+7 (753) 775-28-79,aliya.kadyrov5966@yandex.kz,Medical Aid,Flexible,2024-09-02
116,Erlan,Tuleshov,+7 (762) 617-15-42,erlan.tuleshov3262@outlook.com,Teaching,Weekends,2021-09-23
117,Kairat,Zhumabekov,+7 (718) 587-33-75,kairat.zhumabekov7392@outlook.com,Fundraising,Flexible,2019-03-17
118,Asel,Esenov,+7 (715) 732-39-47,asel.esenov2448@mail.ru,Logistics,Weekdays,2015-08-22
119,Bolat,Mambetalin,+7 (793) 441-31-16,bolat.mambetalin9336@yandex.kz,Community Support,Weekends,2017-03-16
120,Togzhan,Mambetalin,+7 (751) 523-53-81,togzhan.mambetalin3457@yandex.kz,Logistics,Flexible,2016-06-26
121,Nazira,Zhumabekov,+7 (792) 439-76-26,nazira.zhumabekov6661@yahoo.com,Community Support,Weekdays,2021-05-03
122,Alibek,Tolegenov,+7 (743) 438-98-13,alibek.tolegenov4846@mail.ru,Fundraising,Weekends,2019-05-05
123,Bolat,Dauletov,+7 (734) 173-78-36,bolat.dauletov6644@outlook.com,Logistics,Weekdays,2018-12-13
124,Zhanar,Akhmetov,+7 (743) 438-50-24,zhanar.akhmetov8376@yahoo.com,Medical Aid,Flexible,2020-05-04
125,Madina,Bekbolat,+7 (797) 647-37-10,madina.bekbolat8592@yandex.kz,Fundraising,Flexible,2021-07-14
126,Nurlan,Esenov,+7 (795) 550-57-71,nurlan.esenov3186@gmail.com,Teaching,Weekdays,2020-06-11
127,Sultan,Serikbayev,+7 (771) 570-74-50,sultan.serikbayev8782@yahoo.com,Communication,Weekdays,2019-04-28
128,Aliya,Zhumabekov,+7 (776) 378-76-13,aliya.zhumabekov5248@mail.ru,Community Support,Weekends,2022-05-28
129,Aidana,Akhmetov,+7 (735) 826-53-25,aidana.akhmetov2185@yandex.kz,Teaching,Weekends,2021-01-17
130,Aliya,Tolegenov,+7 (726) 358-25-14,aliya.tolegenov3521@yahoo.com,Communication,Flexible,2023-08-02
131,Oksana,Omarov,+7 (712) 582-30-81,oksana.omarov2588@gmail.com,Community Support,Weekends,2020-09-24
132,Kuanysh,Baimukhanov,+7 (732) 246-87-68,kuanysh.baimukhanov9245@yahoo.com,Communication,Weekdays,2024-11-08
133,Kamila,Ismailov,+7 (760) 455-66-71,kamila.ismailov1181@gmail.com,Communication,Weekdays,2018-06-18
134,Dinara,Nurpeisov,+7 (750) 513-27-81,dinara.nurpeisov2971@yandex.kz,Teaching,Weekends,2024-01-12
135,Nazira,Ospanov,+7 (792) 656-87-60,nazira.ospanov2648@gmail.com,Logistics,Weekdays,2021-07-05
136,Gaukhar,Ismailov,+7 (791) 918-41-61,gaukhar.ismailov6203@mail.ru,Logistics,Weekends,2020-12-26
137,Timur,Mambetalin,+7 (786) 484-43-85,timur.mambetalin2511@outlook.com,Teaching,Weekends,2022-07-07
138,Dinara,Omarov,+7 (747) 204-32-77,dinara.omarov3357@outlook.com,Communication,Weekdays,2015-07-13
139,Aslan,Mambetalin,+7 (736) 799-54-27,aslan.mambetalin672@yahoo.com,Teaching,Flexible,2019-02-04
140,Saule,Serikbayev,+7 (713) 858-92-56,saule.serikbayev2917@mail.ru,Teaching,Weekdays,2015-02-16
141,Askar,Dzhakishev,+7 (768) 737-91-80,askar.dzhakishev7495@outlook.com,Community Support,Weekends,2016-11-08
142,Bibigul,Tuleshov,+7 (781) 248-56-32,bibigul.tuleshov7601@mail.ru,Communication,Flexible,2023-03-18
143,Gulnara,Magzumov,+7 (794) 567-20-94,gulnara.magzumov425@yahoo.com,Logistics,Weekdays,2015-05-20
144,Gaukhar,Aliyev,+7 (753) 173-16-87,gaukhar.aliyev7029@gmail.com,Fundraising,Weekends,2018-07-27
145,Sultan,Akhmetov,+7 (787) 285-38-67,sultan.akhmetov4349@outlook.com,Logistics,Flexible,2015-04-03
146,Venera,Baimukhanov,+7 (767) 620-38-81,venera.baimukhanov3013@yahoo.com,Medical Aid,Weekdays,2018-06-25
147,Yerbol,Kairatov,+7 (778) 794-33-12,yerbol.kairatov3479@gmail.com,Teaching,Flexible,2017-06-10
148,Sultan,Serikbayev,+7 (777) 126-38-14,sultan.serikbayev9088@yandex.kz,Medical Aid,Weekdays,2018-05-05
149,Saule,Dauletov,+7 (730) 226-56-66,saule.dauletov132@gmail.com,Medical Aid,Flexible,2023-06-16
150,Yerlan,Zhakenov,+7 (798) 928-87-59,yerlan.zhakenov4057@yahoo.com,Communication,Weekends,2021-11-26
151,Kairat,Abdirov,+7 (776) 898-97-99,kairat.abdirov7259@outlook.com,Communication,Weekdays,2023-05-11
152,Aigul,Serikbayev,+7 (757) 884-67-49,aigul.serikbayev5454@mail.ru,Communication,Weekdays,2023-04-01
153,Farida,Serikbayev,+7 (775) 208-35-48,farida.serikbayev7470@mail.ru,Medical Aid,Flexible,2017-11-12
154,Saltanat,Tolegenov,+7 (710) 890-43-22,saltanat.tolegenov7089@outlook.com,Fundraising,Flexible,2016-02-10
155,Tamara,Mambetalin,+7 (756) 421-64-89,tamara.mambetalin7571@yandex.kz,Community Support,Weekends,2017-10-22
156,Aidana,Magzumov,+7 (728) 142-58-12,aidana.magzumov8864@yahoo.com,Fundraising,Weekdays,2024-01-05
157,Yerbol,Bekbolat,+7 (713) 890-80-17,yerbol.bekbolat9211@yahoo.com,Medical Aid,Flexible,2018-12-01
158,Ulan,Dauletov,+7 (772) 141-26-20,ulan.dauletov1063@mail.ru,Fundraising,Flexible,2019-03-23
159,Serik,Yermekbayev,+7 (777) 504-95-11,serik.yermekbayev5681@gmail.com,Community Support,Weekends,2019-09-05
160,Daniyar,Abdirov,+7 (740) 281-19-26,daniyar.abdirov5474@mail.ru,Teaching,Weekdays,2023-04-15
161,Aliya,Dzhakishev,+7 (726) 256-55-27,aliya.dzhakishev4247@yandex.kz,Communication,Weekends,2016-10-25
162,Ulan,Yermekbayev,+7 (758) 565-32-91,ulan.yermekbayev1467@yandex.kz,Community Support,Weekends,2021-02-10
163,Saule,Yermekbayev,+7 (778) 253-65-68,saule.yermekbayev7416@outlook.com,Communication,Weekends,2015-08-25
164,Yerlan,Yermekbayev,+7 (763) 104-18-54,yerlan.yermekbayev6437@mail.ru,Logistics,Flexible,2023-07-20
165,Oksana,Tolegenov,+7 (744) 514-43-74,oksana.tolegenov16@gmail.com,Communication,Weekends,2021-08-16
166,Madina,Nurgaliyev,+7 (710) 843-79-38,madina.nurgaliyev9295@mail.ru,Logistics,Weekends,2017-06-15
167,Erlan,Nurpeisov,+7 (758) 367-58-27,erlan.nurpeisov5900@outlook.com,Teaching,Weekdays,2021-04-26
168,Oksana,Baimukhanov,+7 (728) 933-16-34,oksana.baimukhanov1377@mail.ru,Fundraising,Weekends,2021-11-28
169,Zhanna,Dauletov,+7 (715) 248-96-54,zhanna.dauletov8857@yandex.kz,Community Support,Flexible,2015-12-25
170,Saule,Suleimenov,+7 (792) 560-66-29,saule.suleimenov1953@gmail.com,Logistics,Weekends,2019-06-14
171,Tamara,Ospanov,+7 (758) 506-93-40,tamara.ospanov9823@gmail.com,Communication,Weekdays,2015-09-13
172,Askar,Kadyrov,+7 (780) 940-44-84,askar.kadyrov2033@outlook.com,Teaching,Weekends,2019-05-11
173,Arman,Esenov,+7 (718) 140-39-58,arman.esenov8706@yahoo.com,Teaching,Weekends,2021-07-20
174,Serik,Kadyrov,+7 (737) 287-97-84,serik.kadyrov9436@gmail.com,Fundraising,Flexible,2015-11-12
175,Bibigul,Baimukhanov,+7 (784) 523-42-59,bibigul.baimukhanov4428@yandex.kz,Communication,Weekends,2021-04-17
176,Medet,Baimukhanov,+7 (761) 336-54-17,medet.baimukhanov6271@yahoo.com,Community Support,Weekends,2024-06-05
177,Yerbol,Zhumabekov,+7 (781) 539-45-69,yerbol.zhumabekov514@mail.ru,Medical Aid,Flexible,2024-09-04
178,Zhanna,Zhumabekov,+7 (795) 623-85-64,zhanna.zhumabekov1710@mail.ru,Community Support,Flexible,2016-08-11
179,Gulnara,Yermekbayev,+7 (737) 419-11-52,gulnara.yermekbayev4615@outlook.com,Communication,Weekdays,2021-12-25
180,Togzhan,Zhumabekov,+7 (758) 405-15-22,togzhan.zhumabekov4008@yandex.kz,Community Support,Flexible,2016-08-14
181,Kamila,Kadyrov,+7 (764) 381-51-27,kamila.kadyrov3329@outlook.com,Communication,Weekdays,2021-06-05
182,Kuanysh,Mambetalin,+7 (725) 628-92-16,kuanysh.mambetalin1474@outlook.com,Medical Aid,Weekdays,2017-11-10
183,Nazira,Akhmetov,+7 (728) 608-17-46,nazira.akhmetov8865@mail.ru,Teaching,Weekdays,2023-04-09
184,Yerbol,Zhakenov,+7 (795) 848-22-65,yerbol.zhakenov2280@yahoo.com,Logistics,Flexible,2015-09-23
185,Daniyar,Dauletov,+7 (736) 156-60-75,daniyar.dauletov2216@gmail.com,Logistics,Weekdays,2017-01-13
186,Timur,Kadyrov,+7 (786) 803-74-50,timur.kadyrov8446@outlook.com,Logistics,Weekends,2021-08-19
187,Oksana,Suleimenov,+7 (762) 608-10-32,oksana.suleimenov2488@gmail.com,Medical Aid,Flexible,2015-12-07
188,Dinara,Baimukhanov,+7 (712) 772-53-80,dinara.baimukhanov7949@yandex.kz,Community Support,Weekdays,2017-08-09
189,Ruslan,Bekbolat,+7 (721) 487-95-27,ruslan.bekbolat9560@gmail.com,Communication,Weekends,2023-03-19
190,Alibek,Baimukhanov,+7 (745) 322-80-53,alibek.baimukhanov6103@outlook.com,Logistics,Flexible,2017-06-17
191,Marat,Akhmetov,+7 (763) 751-59-98,marat.akhmetov6069@outlook.com,Medical Aid,Weekdays,2018-03-19
192,Gaukhar,Ismailov,+7 (788) 334-55-92,gaukhar.ismailov4947@yandex.kz,Teaching,Weekdays,2015-02-21
193,Aidana,Baimukhanov,+7 (746) 920-20-35,aidana.baimukhanov8352@outlook.com,Medical Aid,Weekdays,2022-04-08
194,Ulan,Aliyev,+7 (776) 476-37-30,ulan.aliyev7786@yahoo.com,Community Support,Weekdays,2023-05-12
195,Laura,Suleimenov,+7 (770) 777-73-51,laura.suleimenov8250@gmail.com,Medical Aid,Flexible,2018-08-17
196,Dinara,Yermekbayev,+7 (764) 838-65-46,dinara.yermekbayev9107@gmail.com,Community Support,Flexible,2020-01-28
197,Asel,Zhakenov,+7 (766) 510-53-37,asel.zhakenov1669@yahoo.com,Community Support,Weekends,2022-05-03
198,Dias,Zhumabekov,+7 (774) 672-39-65,dias.zhumabekov6433@gmail.com,Logistics,Weekdays,2016-08-02
199,Bolat,Kadyrov,+7 (746) 892-17-33,bolat.kadyrov6654@mail.ru,Community Support,Weekends,2018-01-28
200,Bakhyt,Esenov,+7 (727) 465-85-84,bakhyt.esenov7@mail.ru,Medical Aid,Flexible,2019-04-26
201,Sultan,Akhmetov,+7 (738) 898-20-18,sultan.akhmetov6309@yandex.kz,Logistics,Flexible,2016-03-26
202,Laura,Yermekbayev,+7 (755) 400-24-41,laura.yermekbayev8843@yahoo.com,Teaching,Weekdays,2021-06-04
203,Marat,Zhumabekov,+7 (788) 230-25-48,marat.zhumabekov554@gmail.com,Communication,Weekdays,2022-04-21
204,Aslan,Rakhimov,+7 (795) 103-72-84,aslan.rakhimov2490@mail.ru,Teaching,Weekends,2022-10-18
205,Serik,Dzhakishev,+7 (748) 926-85-12,serik.dzhakishev1452@yandex.kz,Medical Aid,Flexible,2024-10-10
206,Yerbol,Tolegenov,+7 (760) 795-34-88,yerbol.tolegenov6276@yahoo.com,Fundraising,Flexible,2020-10-05
207,Laura,Magzumov,+7 (746) 184-97-94,laura.magzumov8660@outlook.com,Communication,Flexible,2016-03-02
208,Laura,Ospanov,+7 (726) 522-58-42,laura.ospanov5732@gmail.com,Communication,Flexible,2023-07-08
209,Gaukhar,Aliyev,+7 (781) 360-64-66,gaukhar.aliyev817@gmail.com,Logistics,Weekdays,2021-11-21
210,Nurlan,Abdirov,+7 (771) 482-10-43,nurlan.abdirov1977@outlook.com,Fundraising,Flexible,2017-11-03
211,Ulan,Zhakenov,+7 (768) 406-25-35,ulan.zhakenov1570@outlook.com,Logistics,Weekends,2018-09-24
212,Dana,Kairatov,+7 (780) 969-59-26,dana.kairatov7032@yandex.kz,Medical Aid,Weekdays,2022-10-27
213,Togzhan,Zhumabekov,+7 (754) 498-28-20,togzhan.zhumabekov8205@gmail.com,Community Support,Weekdays,2022-04-23
214,Daniyar,Serikbayev,+7 (722) 367-22-74,daniyar.serikbayev9819@mail.ru,Community Support,Flexible,2018-03-03
215,Aslan,Tolegenov,+7 (791) 477-50-41,aslan.tolegenov4119@yandex.kz,Fundraising,Flexible,2018-03-03
216,Bakhyt,Akhmetov,+7 (791) 830-71-67,bakhyt.akhmetov2145@outlook.com,Teaching,Weekends,2019-06-27
217,Asel,Aliyev,+7 (785) 757-99-94,asel.aliyev8499@outlook.com,Teaching,Weekdays,2019-06-17
218,Kuanysh,Ospanov,+7 (774) 431-95-78,kuanysh.ospanov9717@outlook.com,Fundraising,Weekdays,2017-02-19
219,Medet,Yermekbayev,+7 (796) 197-41-97,medet.yermekbayev1196@outlook.com,Logistics,Weekdays,2023-05-26
220,Aliya,Yermekbayev,+7 (758) 543-78-50,aliya.yermekbayev3323@mail.ru,Community Support,Weekends,2021-12-28
221,Laura,Nurpeisov,+7 (795) 799-45-38,laura.nurpeisov5624@yandex.kz,Logistics,Flexible,2016-04-26
